modzcta,modzcta_name,lat,lon,people_tested,people_positive,%_positive,%_at_least_1,%_full_vax
11419,Richmond Hill/South Ozone Park,40.688676,-73.822901,1341.0,59.0,0.04399701715137957,0.578152675,0.382261689
11420,South Ozone Park,40.673518,-73.817812,1261.0,59.0,0.046788263283108644,0.55180031,0.387814167
11421,Woodhaven,40.69405,-73.85867,1271.0,51.0,0.04012588512981904,0.550396424,0.368785122
11422,Rosedale,40.660819,-73.73608,1019.0,22.0,0.021589793915603533,0.383601248,0.277375617
11423,Hollis/Holliswood,40.71491,-73.767865,909.0,28.0,0.030803080308030802,0.553291894,0.412253619
11426,Bellerose,40.736521,-73.722384,520.0,12.0,0.023076923076923078,0.60267732,0.456096942
11427,Bellerose/Hollis Hills/Holliswood,40.730915,-73.745611,687.0,16.0,0.023289665211062592,0.761562728,0.59780158
11428,Queens Village,40.721015,-73.742206,595.0,18.0,0.030252100840336135,0.644941095,0.476258974
11429,Queens Village,40.709772,-73.738731,1013.0,38.0,0.03751233958538993,0.393419999,0.284143059
11432,Hillcrest/Jamaica Estates/Jamaica Hills,40.715359,-73.793064,1544.0,50.0,0.03238341968911917,0.647116159,0.475278531
11433,Jamaica,40.69823,-73.787095,1227.0,36.0,0.029339853300733496,0.443824269,0.303447627
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,40.656866,-73.783386,2196.0,83.0,0.0377959927140255,0.382605519,0.278366128
11435,Briarwood/Jamaica,40.701291,-73.809618,1624.0,54.0,0.0332512315270936,0.523767739,0.37125666
11436,South Jamaica/South Ozone Park,40.675819,-73.796618,599.0,20.0,0.0333889816360601,0.447955018,0.306170792
11691,Edgemere/Far Rockaway,40.60133,-73.761357,1679.0,58.0,0.034544371649791544,0.343085398,0.249310099
11692,Arverne/Edgemere,40.592794,-73.792203,679.0,14.0,0.020618556701030927,0.38365873,0.280817055
11693,Arverne/Broad Channel,40.603699,-73.821926,452.0,11.0,0.024336283185840708,0.433264244,0.333445568
11694,Belle Harbor-Neponsit/Rockaway Park,40.577599,-73.844553,640.0,9.0,0.0140625,0.525139314,0.426471647
11697,Breezy Point,40.55907,-73.907199,169.0,6.0,0.03550295857988166,0.88974162,0.755146356
10000,Average of NYC,40.725692803370784,-73.9192454269663,1562.677966101695,39.87570621468927,0.024558538752396993,0.566953010858757,0.414953506898305
